EQUIPMENT_TYPE,new abbr,meaning
0,ignore,IGNORE
60,ignore,IGNORE
65,ignore,IGNORE
70,ignore,IGNORE
100,ignore,IGNORE
390,ignore,IGNORE
1800,ignore,IGNORE
10116919,ignore,IGNORE
,,DRY FREIGHT
 VR,VR,DRY FREIGHT
3353-WA5-X,ignore,IGNORE
48' V,V,DRY FREIGHT
48' VR,VR,DRY FREIGHT
48'/53' F,F,FLATBED
48F,F,FLATBED
48FT VAN,V,DRY FREIGHT
48SD,F,FLATBED
53  VAN,V,DRY FREIGHT
53 DRY VAN,V,DRY FREIGHT
53 FT,V,DRY FREIGHT
53 V,V,DRY FREIGHT
53' V,V,DRY FREIGHT
53 V ONLY,V,DRY FREIGHT
53 VAN,V,DRY FREIGHT
53' VAN,V,DRY FREIGHT
'53 VAN,V,DRY FREIGHT
53 VAN ,V,DRY FREIGHT
53' VR,VR,DRY FREIGHT
"53"" V",V,DRY FREIGHT
"53""VG",V,DRY FREIGHT
53'-102',V,DRY FREIGHT
53-102,V,DRY FREIGHT
53'-102' V,V,DRY FREIGHT
53-102 V,V,DRY FREIGHT
53-102 VAN,V,DRY FREIGHT
53'-102'V,V,DRY FREIGHT
53-102V,V,DRY FREIGHT
53F,F,FLATBED
53FT VAN,V,DRY FREIGHT
53L/102W V,V,DRY FREIGHT
53R,R,REFRIGERATED
53V,V,DRY FREIGHT
53'V,V,DRY FREIGHT
53-V,V,DRY FREIGHT
53VAN,V,DRY FREIGHT
53-VAN,V,DRY FREIGHT
53VAN ONLY,V,DRY FREIGHT
53-VENT/V,V,DRY FREIGHT
53V-ONLY,V,DRY FREIGHT
CARGO VAN,ignore,IGNORE
CONESTOGA,F,FLATBED
CONTAINER,V,DRY FREIGHT
DROP,V,DRY FREIGHT
DRY VAN,V,DRY FREIGHT
DRY VAN ,V,DRY FREIGHT
DV,V,DRY FREIGHT
F,F,FLATBED
F ,F,FLATBED
F - TARPS,F,FLATBED
F 4 TARPS,F,FLATBED
F 4' TARPS,F,FLATBED
F 48',F,FLATBED
F 48 OR 53,F,FLATBED
F 4FT TARP,F,FLATBED
F 8 TARPS,F,FLATBED
F 8' TARPS,F,FLATBED
F 8FT TARP,F,FLATBED
F OR SD,F,FLATBED
F TARP,F,FLATBED
F W TARPS,F,FLATBED
F W/TARPS,F,FLATBED
"F,D",F,FLATBED
F/8 TARPS,F,FLATBED
F/8FT TARP,F,FLATBED
F/TARPS,F,FLATBED
F-48 OR 53,F,FLATBED
F-8FT,F,FLATBED
F8FT ,F,FLATBED
F-8FT ,F,FLATBED
F-8FT TARP,F,FLATBED
F8FT TARPS,F,FLATBED
FB,F,FLATBED
FB - 8FT,F,FLATBED
FB/NO TARP,F,FLATBED
FB-8FT,F,FLATBED
F-BARGE,F,FLATBED
FD,F,FLATBED
F-FT TARP,F,FLATBED
FLAT,F,FLATBED
FLAT TARPS,F,FLATBED
FLATBED,F,FLATBED
FLATBED 8T,F,FLATBED
FLATBED/8T,F,FLATBED
FLATBED-8T,F,FLATBED
F-LTL,F,FLATBED
F-ONLY,F,FLATBED
FSD,F,FLATBED
FT,F,FLATBED
FT - 4FT,F,FLATBED
FT 8,F,FLATBED
FT-4  TARP,F,FLATBED
FT-8,F,FLATBED
FT-8',F,FLATBED
FT-8' TARP,F,FLATBED
FT-8F,F,FLATBED
FT-8FT,F,FLATBED
F-TARPS,F,FLATBED
FV,F,FLATBED
G1-D1-NK2,ignore,IGNORE
HAZMAT V/R,VR,DRY FREIGHT
HOPPER,ignore,IGNORE
HS,ignore,IGNORE
HS SPRINTE,ignore,IGNORE
INT,ignore,IGNORE
LB,F,FLATBED
LT,ignore,IGNORE
LTL,ignore,IGNORE
LTL ,ignore,IGNORE
LTL 60,ignore,IGNORE
LTL70,ignore,IGNORE
LTL-SWING,ignore,IGNORE
LV,ignore,IGNORE
LYL,ignore,IGNORE
PARTIAL,ignore,IGNORE
PO,ignore,IGNORE
POWER ONLY,ignore,IGNORE
R,R,REFRIGERATED
R ,R,REFRIGERATED
R - 0,R,REFRIGERATED
R  -10,R,REFRIGERATED
R  35 DEG,R,REFRIGERATED
R - 55,R,REFRIGERATED
R -10 DEGR,R,REFRIGERATED
R 40-45 F,R,REFRIGERATED
R 50,R,REFRIGERATED
R 53,R,REFRIGERATED
R 70-75 F,R,REFRIGERATED
R 70-75DEG,R,REFRIGERATED
R 75 DEG F,R,REFRIGERATED
R 75 F,R,REFRIGERATED
R OR VV,R,REFRIGERATED
R TEAM,R,REFRIGERATED
R/-10',R,REFRIGERATED
R/35-40',R,REFRIGERATED
R/RAIL,R,REFRIGERATED
R-33,R,REFRIGERATED
R-33',R,REFRIGERATED
R-35,R,REFRIGERATED
R-35/40',R,REFRIGERATED
R-38,R,REFRIGERATED
R-40,R,REFRIGERATED
R-40',R,REFRIGERATED
R-42,R,REFRIGERATED
R-45,R,REFRIGERATED
R-47,R,REFRIGERATED
R48,R,REFRIGERATED
R-5,R,REFRIGERATED
R-50,R,REFRIGERATED
R53,R,REFRIGERATED
R-55 ,R,REFRIGERATED
RAIL,ignore,IGNORE
RF / RAIL ,R,REFRIGERATED
RF/RAIL,R,REFRIGERATED
RLTL,R,REFRIGERATED
R-LTL,R,REFRIGERATED
RM,R,REFRIGERATED
R-O DEG,R,REFRIGERATED
R-TEAM,R,REFRIGERATED
RV,VR,DRY FREIGHT
RZ,R,REFRIGERATED
R-ZERO,R,REFRIGERATED
RZM,R,REFRIGERATED
SD,F,FLATBED
SD 53,F,FLATBED
SD OR F,F,FLATBED
SD/F,F,FLATBED
SPRINTER,ignore,IGNORE
STRAIGHT,ignore,IGNORE
TL,V,DRY FREIGHT
TRACTOR,V,DRY FREIGHT
V,V,DRY FREIGHT
V ,V,DRY FREIGHT
V - 28FT,V,DRY FREIGHT
V - 53,V,DRY FREIGHT
V - 53',V,DRY FREIGHT
V - FREEZE,V,DRY FREIGHT
V - SWING,V,DRY FREIGHT
V / F,V,DRY FREIGHT
V / R,V,DRY FREIGHT
V /R,V,DRY FREIGHT
V 48/53,V,DRY FREIGHT
V 53,V,DRY FREIGHT
V 53',V,DRY FREIGHT
V 53 ,V,DRY FREIGHT
V 53 102,V,DRY FREIGHT
V 53-102,V,DRY FREIGHT
V HAZ,V,DRY FREIGHT
V ONLY,V,DRY FREIGHT
V ONLY!,V,DRY FREIGHT
V OR F,V,DRY FREIGHT
V OR R,V,DRY FREIGHT
V R F,V,DRY FREIGHT
V TEAM,V,DRY FREIGHT
V/48 OR 53,V,DRY FREIGHT
V/53 SWING,V,DRY FREIGHT
V/53-102,V,DRY FREIGHT
V/DROP,V,DRY FREIGHT
V/F,V,DRY FREIGHT
V/R,V,DRY FREIGHT
V/Z,V,DRY FREIGHT
V-48 OR 53,V,DRY FREIGHT
V-48-53,V,DRY FREIGHT
V53,V,DRY FREIGHT
V53',V,DRY FREIGHT
V-53,V,DRY FREIGHT
V-53',V,DRY FREIGHT
V53 ,V,DRY FREIGHT
V-53 SWING,V,DRY FREIGHT
V53-102,V,DRY FREIGHT
V-53-102,V,DRY FREIGHT
VA,V,DRY FREIGHT
VAN,V,DRY FREIGHT
VAN / FLAT,V,DRY FREIGHT
VAN 48/53,V,DRY FREIGHT
VAN 53,V,DRY FREIGHT
VAN ONLY,V,DRY FREIGHT
VAN ONLY!,V,DRY FREIGHT
VAN REEFER,V,DRY FREIGHT
VAN/FLAT,V,DRY FREIGHT
VAN53,V,DRY FREIGHT
VAR,V,DRY FREIGHT
VDROP,V,DRY FREIGHT
V-DROP,V,DRY FREIGHT
VF,V,DRY FREIGHT
VG,V,DRY FREIGHT
VL,V,DRY FREIGHT
V-LIFTGATE,V,DRY FREIGHT
V-LTL,V,DRY FREIGHT
VM,V,DRY FREIGHT
VM ,V,DRY FREIGHT
VM- TEAM,V,DRY FREIGHT
V-ONLY,V,DRY FREIGHT
V-PARTIAL,V,DRY FREIGHT
VR,V,DRY FREIGHT
VR ,V,DRY FREIGHT
VR 48/53,V,DRY FREIGHT
VR 53,V,DRY FREIGHT
VR- DROP,V,DRY FREIGHT
VR HAZ,V,DRY FREIGHT
VR TEAM,V,DRY FREIGHT
VR- TEAM,V,DRY FREIGHT
VR/TEAM,V,DRY FREIGHT
VR53,V,DRY FREIGHT
VR-53,V,DRY FREIGHT
VR-DROP,V,DRY FREIGHT
VRF,V,DRY FREIGHT
VR-HAZ,V,DRY FREIGHT
VRM,V,DRY FREIGHT
VRTEAM,V,DRY FREIGHT
VR-TEAM,V,DRY FREIGHT
VRZ,V,DRY FREIGHT
VTEAM,V,DRY FREIGHT
V-TEAM,V,DRY FREIGHT
VV,V,DRY FREIGHT
VV - R 53,V,DRY FREIGHT
VV / R,V,DRY FREIGHT
VV OR R,V,DRY FREIGHT
VV/R,V,DRY FREIGHT
VVM,V,DRY FREIGHT
VVR,V,DRY FREIGHT
VV-R,V,DRY FREIGHT
VVR 53,V,DRY FREIGHT
VVR TEAM,V,DRY FREIGHT
VVRM,V,DRY FREIGHT
VZ,V,DRY FREIGHT
VZM/RZM,V,DRY FREIGHT
VOLUME LTL,ignore,IGNORE
HB,ignore,IGNORE
VFR,V,DRY FREIGHT
S,ignore,IGNORE
V-DROP TRA,V,DRY FREIGHT
V 26,ignore,IGNORE
DROP HOOK,V,DRY FREIGHT
RG,ignore,IGNORE
26' BOX,ignore,IGNORE
26B,ignore,IGNORE
20' V,ignore,IGNORE
DD,F,FLATBED
V 26' BOX,ignore,IGNORE
REEFER LTL,ignore,IGNORE
V LTLG,ignore,IGNORE
VLTL,ignore,IGNORE
