Zips,Market 
350,AL_BIR
351,AL_BIR
352,AL_BIR
354,AL_BIR
362,AL_BIR
355,AL_DEC
356,AL_DEC
357,AL_DEC
358,AL_DEC
384,AL_DEC
388,AL_DEC
325,AL_MOB
364,AL_MOB
365,AL_MOB
366,AL_MOB
394,AL_MOB
395,AL_MOB
318,AL_MON
319,AL_MON
360,AL_MON
361,AL_MON
363,AL_MON
367,AL_MON
368,AL_MON
369,AL_MON
726,AR_FAY
727,AR_FAY
729,AR_FAY
749,AR_FAY
716,AR_LIT
717,AR_LIT
719,AR_LIT
720,AR_LIT
721,AR_LIT
722,AR_LIT
725,AR_LIT
728,AR_LIT
855,AZ_FLA
859,AZ_FLA
860,AZ_FLA
863,AZ_FLA
864,AZ_FLA
865,AZ_FLA
850,AZ_PHO
851,AZ_PHO
852,AZ_PHO
853,AZ_PHO
856,AZ_TUC
857,AZ_TUC
931,CA_FRS
932,CA_FRS
933,CA_FRS
934,CA_FRS
935,CA_FRS
936,CA_FRS
937,CA_FRS
938,CA_FRS
900,CA_LAX
901,CA_LAX
902,CA_LAX
903,CA_LAX
904,CA_LAX
905,CA_LAX
906,CA_LAX
907,CA_LAX
908,CA_LAX
910,CA_LAX
911,CA_LAX
912,CA_LAX
913,CA_LAX
914,CA_LAX
915,CA_LAX
916,CA_LAX
918,CA_LAX
926,CA_LAX
927,CA_LAX
928,CA_LAX
930,CA_LAX
917,CA_ONT
922,CA_ONT
923,CA_ONT
924,CA_ONT
925,CA_ONT
919,CA_SDI
920,CA_SDI
921,CA_SDI
939,CA_SFR
940,CA_SFR
941,CA_SFR
945,CA_SFR
946,CA_SFR
947,CA_SFR
948,CA_SFR
949,CA_SFR
950,CA_SFR
951,CA_SFR
954,CA_SFR
942,CA_STK
943,CA_STK
944,CA_STK
952,CA_STK
953,CA_STK
956,CA_STK
957,CA_STK
958,CA_STK
959,CA_STK
800,CO_DEN
801,CO_DEN
802,CO_DEN
803,CO_DEN
804,CO_DEN
805,CO_DEN
806,CO_DEN
808,CO_DEN
809,CO_DEN
810,CO_DEN
820,CO_DEN
812,CO_GRA
813,CO_GRA
814,CO_GRA
815,CO_GRA
816,CO_GRA
845,CO_GRA
60,CT_HAR
61,CT_HAR
62,CT_HAR
63,CT_HAR
64,CT_HAR
65,CT_HAR
66,CT_HAR
67,CT_HAR
68,CT_HAR
69,CT_HAR
105,CT_HAR
106,CT_HAR
107,CT_HAR
108,CT_HAR
109,CT_HAR
200,VA_ALE
201,VA_ALE
202,VA_ALE
203,VA_ALE
204,VA_ALE
205,VA_ALE
206,VA_ALE
220,VA_ALE
221,VA_ALE
222,VA_ALE
223,VA_ALE
227,VA_ALE
569,VA_ALE
270,NC_GRE
271,NC_GRE
272,NC_GRE
273,NC_GRE
274,NC_GRE
320,FL_JAX
321,FL_JAX
322,FL_JAX
326,FL_JAX
327,FL_LAK
328,FL_LAK
329,FL_LAK
335,FL_LAK
336,FL_LAK
337,FL_LAK
338,FL_LAK
342,FL_LAK
344,FL_LAK
346,FL_LAK
347,FL_LAK
330,FL_MIA
331,FL_MIA
332,FL_MIA
333,FL_MIA
334,FL_MIA
339,FL_MIA
341,FL_MIA
349,FL_MIA
323,FL_TAL
324,FL_TAL
300,GA_ATL
301,GA_ATL
302,GA_ATL
303,GA_ATL
305,GA_ATL
306,GA_ATL
311,GA_ATL
399,GA_ATL
310,GA_MAC
312,GA_MAC
299,GA_SAV
304,GA_SAV
313,GA_SAV
314,GA_SAV
315,GA_SAV
316,GA_TIF
317,GA_TIF
398,GA_TIF
522,IA_CED
523,IA_CED
524,IA_CED
500,IA_DES
501,IA_DES
502,IA_DES
503,IA_DES
504,IA_DES
505,IA_DES
508,IA_DES
509,IA_DES
514,IA_DES
506,IA_DUB
507,IA_DUB
520,IA_DUB
521,IA_DUB
538,IA_DUB
832,ID_TWI
833,ID_TWI
834,ID_TWI
836,ID_TWI
837,ID_TWI
979,ID_TWI
609,IL_BLO
615,IL_BLO
616,IL_BLO
617,IL_BLO
618,IL_BLO
600,IL_CHI
601,IL_CHI
602,IL_CHI
603,IL_CHI
606,IL_CHI
607,IL_CHI
608,IL_CHI
604,IL_JOL
605,IL_JOL
623,IL_QUI
634,IL_QUI
635,IL_QUI
610,IL_RFD
611,IL_RFD
525,IL_ROC
526,IL_ROC
527,IL_ROC
528,IL_ROC
612,IL_ROC
613,IL_ROC
614,IL_ROC
625,IL_TAY
626,IL_TAY
627,IL_TAY
423,IN_EVA
424,IN_EVA
475,IN_EVA
476,IN_EVA
477,IN_EVA
628,IN_EVA
467,IN_FTW
468,IN_FTW
469,IN_FTW
463,IN_GRY
464,IN_GRY
460,IN_IND
461,IN_IND
462,IN_IND
472,IN_IND
473,IN_IND
474,IN_IND
479,IN_IND
465,IN_SBD
466,IN_SBD
491,IN_SBD
478,IN_TER
619,IN_TER
624,IN_TER
668,KS_HUT
669,KS_HUT
670,KS_HUT
671,KS_HUT
672,KS_HUT
673,KS_HUT
674,KS_HUT
675,KS_HUT
676,KS_HUT
677,KS_HUT
678,KS_HUT
679,KS_HUT
421,KY_BOW
422,KY_BOW
427,KY_BOW
403,KY_LEX
404,KY_LEX
405,KY_LEX
406,KY_LEX
410,KY_LEX
413,KY_LEX
414,KY_LEX
417,KY_LEX
418,KY_LEX
419,KY_LEX
400,KY_LOU
401,KY_LOU
402,KY_LOU
471,KY_LOU
700,LA_NEW
701,LA_NEW
703,LA_NEW
704,LA_NEW
705,LA_NEW
706,LA_NEW
707,LA_NEW
708,LA_NEW
710,LA_SHR
711,LA_SHR
712,LA_SHR
